gse_id,old_gse_id,gse_type,model,manufacturer,location,lift_inspection_expires,latest_service_chassi,latest_service_unit,chassi_nr_vehicle,chassi_nr_unit,manufacturing_year_chassi,manufacturing_year_unit,hour_meter_chassi,hour_meter_unit,km_chassi,local_vehicle_permit,vehicle_permit_nr,vehicle_permit_valid_until,in_use,net_weight_kg,total_weight_kg,status,type_of_fuel,emission_standard,reg_nr_if_applicable,heating,deice_type,hot_type4,glycol,capacity,ac_type,single_double_max_ppm,power,cabin,gen2,length_m,height_min_max_mm,self_propelled,owned_by_company,owned_by_company2,type_of_lease,term_of_termination,purchase_date,agreement_expire_date,risk_assessment,training_documentation_available,item_type,path
TBL 00005,NAS160,Towbar less tractor (TBL),TBL190,Kalmar,AAP,,10/26/2023,,2138,,2002,,"13,350",,,,,,FALSE,"11,000","35,000",1. Scrap,Diesel,TIER 2,,,,FALSE,FALSE,,,,,FALSE,FALSE,,,FALSE,Aviator Airport Services Sweden AB,,No lease,,,,FALSE,FALSE,Element,GSE/Lists/AviatorGSERegister
BLS 00011,44401,Belt loader snake (BLS),Roller track 45E,Mulag,CFS,,,,,1444,,2019,,945,,,,,TRUE,,"5,000",5. Very good condition,Electric -> Emission N/A,,,,,TRUE,TRUE,,,,,TRUE,TRUE,8m,,TRUE,Other,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00022,1,Push back tractor (PBT),F110      16T,Schopf,CFS,,,,2011035SCJ,,2011,,"6,647",,,,,,TRUE,,"16,000",4. Good condition,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00023,2,Push back tractor (PBT),F110      16T,Schopf,CFS,,,,2011025ICJ,,2011,,"6,209",,,,,,TRUE,,"16,000",4. Good condition,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00018,162,Towbar less tractor (TBL),TBL180,Kalmar,CFS,,,,204 4,,1996,,"15,526",,,,,,TRUE,,,2. Usable,Diesel,TIER 2,,,,FALSE,FALSE,,,,,TRUE,FALSE,,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00019,5,Towbar less tractor (TBL),TBL100 EL,Kalmar,CFS,,,,2560,,2019,,152,,,,,,TRUE,"7,500","15,000",5. Very good condition,Electric -> Emission N/A,,,,,FALSE,FALSE,,,,,TRUE,FALSE,,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00032,1,Belt loader (BLT),"MDF 7,5",Mulag,CFS,,,,414312,,2001,,"14,878",,,,,,TRUE,,,0. Scraped,Hybrid,,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00033,3,Belt loader (BLT),"MDF 7,5",Mulag,CFS,,,,02F016243,,1999,,,,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00034,4,Belt loader (BLT),"MDF 7,5",Mulag,CFS,,,,99F012705,,1999,,"15,640",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Copenhagen Flight Services APS,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00012,5,Belt loader snake (BLS),NBL EL,TLD/Powerstow,CFS,,,,T15979,45,2008,,,,,,,,TRUE,,,2. Usable,Electric -> Emission N/A,,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Partners A/S,,,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
